# Generated by matlabSample/mainHCW.m
# Osculating Keplerian elements (chief: GEO circular equatorial)
# Columns match mRendering orbit_mechanics.CsvEphemeris.
time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad
18360,42164,0,0,0,0,1.33884055012193
18370,42164,0,0,0,0,1.33956976610783
18380,42164,0,0,0,0,1.34029898209374
18390,42164,0,0,0,0,1.34102819807964
18400,42164,0,0,0,0,1.34175741406555
18410,42164,0,0,0,0,1.34248663005145
18420,42164,0,0,0,0,1.34321584603736
18430,42164,0,0,0,0,1.34394506202326
18440,42164,0,0,0,0,1.34467427800917
18450,42164,0,0,0,0,1.34540349399507
18460,42164,0,0,0,0,1.34613270998098
18470,42164,0,0,0,0,1.34686192596688
18480,42164,0,0,0,0,1.34759114195279
18490,42164,0,0,0,0,1.34832035793869
18500,42164,0,0,0,0,1.3490495739246
18510,42164,0,0,0,0,1.3497787899105
18520,42164,0,0,0,0,1.35050800589641
18530,42164,0,0,0,0,1.35123722188231
18540,42164,0,0,0,0,1.35196643786822
18550,42164,0,0,0,0,1.35269565385412
18560,42164,0,0,0,0,1.35342486984003
18570,42164,0,0,0,0,1.35415408582593
18580,42164,0,0,0,0,1.35488330181184
18590,42164,0,0,0,0,1.35561251779774
18600,42164,0,0,0,0,1.35634173378365
18610,42164,0,0,0,0,1.35707094976956
18620,42164,0,0,0,0,1.35780016575546
18630,42164,0,0,0,0,1.35852938174137
18640,42164,0,0,0,0,1.35925859772727
18650,42164,0,0,0,0,1.35998781371318
18660,42164,0,0,0,0,1.36071702969908
18670,42164,0,0,0,0,1.36144624568499
18680,42164,0,0,0,0,1.36217546167089
18690,42164,0,0,0,0,1.3629046776568
18700,42164,0,0,0,0,1.3636338936427
18710,42164,0,0,0,0,1.36436310962861
18720,42164,0,0,0,0,1.36509232561451
18730,42164,0,0,0,0,1.36582154160042
18740,42164,0,0,0,0,1.36655075758632
18750,42164,0,0,0,0,1.36727997357223
18760,42164,0,0,0,0,1.36800918955813
18770,42164,0,0,0,0,1.36873840554404
18780,42164,0,0,0,0,1.36946762152994
18790,42164,0,0,0,0,1.37019683751585
18800,42164,0,0,0,0,1.37092605350175
18810,42164,0,0,0,0,1.37165526948766
18820,42164,0,0,0,0,1.37238448547356
18830,42164,0,0,0,0,1.37311370145947
18840,42164,0,0,0,0,1.37384291744537
18850,42164,0,0,0,0,1.37457213343128
18860,42164,0,0,0,0,1.37530134941719
18870,42164,0,0,0,0,1.37603056540309
18880,42164,0,0,0,0,1.376759781389
18890,42164,0,0,0,0,1.3774889973749
18900,42164,0,0,0,0,1.37821821336081
18910,42164,0,0,0,0,1.37894742934671
18920,42164,0,0,0,0,1.37967664533262
18930,42164,0,0,0,0,1.38040586131852
18940,42164,0,0,0,0,1.38113507730443
18950,42164,0,0,0,0,1.38186429329033
18960,42164,0,0,0,0,1.38259350927624
18970,42164,0,0,0,0,1.38332272526214
18980,42164,0,0,0,0,1.38405194124805
