# Generated by matlabSample/mainHCW.m
# HCW relative motion (radial, along-track, cross-track) [km], identity attitude
time_s,x,y,z,qx,qy,qz,qw
70810,2.18018116098207,18.9992911062144,4.36036232196415,0,0,0,1
70820,2.18346179450084,18.9961090678705,4.36692358900169,0,0,0,1
70830,2.18674126695045,18.9929222457926,4.37348253390091,0,0,0,1
70840,2.19001957658697,18.9897306416753,4.38003915317394,0,0,0,1
70850,2.19329672166709,18.9865342572159,4.38659344333418,0,0,0,1
70860,2.19657270044814,18.9833330941142,4.39314540089629,0,0,0,1
70870,2.1998475111881,18.9801271540722,4.3996950223762,0,0,0,1
70880,2.20312115214554,18.9769164387949,4.4062423042911,0,0,0,1
70890,2.20639362157972,18.9737009499895,4.41278724315944,0,0,0,1
70900,2.20966491775048,18.9704806893658,4.41932983550097,0,0,0,1
70910,2.21293503891832,18.9672556586363,4.42587007783665,0,0,0,1
70920,2.21620398334437,18.9640258595158,4.43240796668875,0,0,0,1
70930,2.21947174929039,18.9607912937218,4.4389434985808,0,0,0,1
70940,2.22273833501878,18.9575519629741,4.44547667003757,0,0,0,1
70950,2.22600373879255,18.9543078689954,4.45200747758511,0,0,0,1
70960,2.22926795887538,18.9510590135105,4.45853591775076,0,0,0,1
70970,2.23253099353154,18.9478053982471,4.46506198706309,0,0,0,1
70980,2.23579284102597,18.9445470249352,4.47158568205195,0,0,0,1
70990,2.23905349962422,18.9412838953074,4.47810699924845,0,0,0,1
71000,2.24231296759249,18.9380160110988,4.48462593518498,0,0,0,1
71010,2.24557124319759,18.9347433740472,4.49114248639519,0,0,0,1
71020,2.24882832470698,18.9314659858927,4.49765664941398,0,0,0,1
71030,2.25208421038876,18.9281838483779,4.50416842077753,0,0,0,1
71040,2.25533889851164,18.9248969632483,4.51067779702329,0,0,0,1
71050,2.25859238734498,18.9216053322515,4.51718477468996,0,0,0,1
71060,2.26184467515876,18.9183089571378,4.52368935031753,0,0,0,1
71070,2.26509576022361,18.9150078396602,4.53019152044723,0,0,0,1
71080,2.26834564081078,18.9117019815739,4.53669128162156,0,0,0,1
71090,2.27159431519215,18.9083913846369,4.54318863038431,0,0,0,1
71100,2.27484178164024,18.9050760506095,4.5496835632805,0,0,0,1
71110,2.27808803842847,18.9017559812545,4.55617607685695,0,0,0,1
71120,2.28133308383108,18.8984311783368,4.56266616766217,0,0,0,1
71130,2.28457691612227,18.8951016436246,4.56915383224455,0,0,0,1
71140,2.28781953357688,18.8917673788886,4.57563906715376,0,0,0,1
71150,2.29106093447041,18.8884283859021,4.58212186894082,0,0,0,1
71160,2.29430111707903,18.8850846664407,4.58860223415808,0,0,0,1
71170,2.2975400796796,18.8817362222828,4.59508015935922,0,0,0,1
71180,2.30077782054963,18.8783830552089,4.60155564109927,0,0,0,1
71190,2.3040143379673,18.8750251670023,4.6080286759346,0,0,0,1
71200,2.30724963021145,18.8716625594486,4.61449926042291,0,0,0,1
71210,2.31048369556162,18.8682952343361,4.62096739112325,0,0,0,1
71220,2.31371653229799,18.8649231934554,4.62743306459598,0,0,0,1
71230,2.31694813870141,18.8615464385996,4.63389627740283,0,0,0,1
71240,2.32017851305342,18.8581649715645,4.64035702610685,0,0,0,1
71250,2.32340765363621,18.8547787941482,4.64681530727244,0,0,0,1
71260,2.32663555873266,18.8513879081512,4.65327111746532,0,0,0,1
71270,2.32986222662628,18.8479923153768,4.65972445325257,0,0,0,1
71280,2.33308765560129,18.8445920176305,4.6661753112026,0,0,0,1
71290,2.33631184394256,18.8411870167204,4.67262368788514,0,0,0,1
71300,2.33953478993564,18.8377773144573,4.67906957987128,0,0,0,1
71310,2.34275649186672,18.834362912654,4.68551298373345,0,0,0,1
71320,2.34597694802269,18.8309438131264,4.6919538960454,0,0,0,1
71330,2.34919615669111,18.8275200176923,4.69839231338223,0,0,0,1
71340,2.35241411616018,18.8240915281725,4.70482823232037,0,0,0,1
71350,2.3556308247188,18.8206583463899,4.7112616494376,0,0,0,1
71360,2.35884628065652,18.8172204741702,4.71769256131304,0,0,0,1
71370,2.36206048226356,18.8137779133413,4.72412096452713,0,0,0,1
71380,2.36527342783082,18.8103306657338,4.73054685566165,0,0,0,1
71390,2.36848511564986,18.8068787331807,4.73697023129974,0,0,0,1
71400,2.37169554401292,18.8034221175176,4.74339108802585,0,0,0,1
71410,2.3749047112129,18.7999608205825,4.7498094224258,0,0,0,1
71420,2.37811261554335,18.7964948442159,4.75622523108671,0,0,0,1
71430,2.38131925529853,18.7930241902608,4.76263851059708,0,0,0,1
71440,2.38452462877335,18.7895488605626,4.7690492575467,0,0,0,1
71450,2.38772873426337,18.7860688569694,4.77545746852675,0,0,0,1
71460,2.39093157006485,18.7825841813316,4.7818631401297,0,0,0,1
71470,2.39413313447469,18.7790948355022,4.78826626894939,0,0,0,1
71480,2.39733342579049,18.7756008213367,4.79466685158099,0,0,0,1
71490,2.4005324423105,18.772102140693,4.80106488462101,0,0,0,1
71500,2.40373018233364,18.7685987954316,4.80746036466729,0,0,0,1
71510,2.40692664416,18.7650907874147,4.81385328832,0,0,0,1
71520,2.41012182609002,18.7615781185076,4.82024365218006,0,0,0,1
71530,2.41331572642441,18.7580607905784,4.82663145284883,0,0,0,1
71540,2.41650834346455,18.7545388054977,4.83301668692911,0,0,0,1
71550,2.41969967551254,18.7510121651386,4.83939935102508,0,0,0,1
71560,2.42288972087117,18.7474808713765,4.84577944174235,0,0,0,1
71570,2.42607847784397,18.7439449260895,4.85215695568795,0,0,0,1
71580,2.42926594473514,18.7404043311579,4.85853188947028,0,0,0,1
71590,2.4324521198496,18.7368590884647,4.8649042396992,0,0,0,1
71600,2.43563700149297,18.7333091998951,4.87127400298594,0,0,0,1
71610,2.43882058797158,18.7297546673368,4.87764117594317,0,0,0,1
71620,2.44200287759247,18.7261954926802,4.88400575518494,0,0,0,1
71630,2.44518386866337,18.7226316778179,4.89036773732675,0,0,0,1
71640,2.44836355949273,18.7190632246451,4.89672711898547,0,0,0,1
71650,2.4515419483897,18.7154901350592,4.9030838967794,0,0,0,1
71660,2.45471903366412,18.7119124109603,4.90943806732825,0,0,0,1
71670,2.45789481362657,18.708330054251,4.91578962725315,0,0,0,1
71680,2.4610692865883,18.7047430668361,4.92213857317661,0,0,0,1
71690,2.46424245086129,18.701151450623,4.92848490172259,0,0,0,1
71700,2.46741430475821,18.6975552075215,4.93482860951642,0,0,0,1
71710,2.47058484659243,18.6939543394441,4.94116969318487,0,0,0,1
71720,2.47375407467805,18.6903488483052,4.94750814935611,0,0,0,1
71730,2.47692198732985,18.6867387360223,4.95384397465971,0,0,0,1
71740,2.48008858286333,18.6831240045149,4.96017716572667,0,0,0,1
71750,2.4832538595947,18.6795046557051,4.9665077191894,0,0,0,1
71760,2.48641781584084,18.6758806915174,4.9728356316817,0,0,0,1
