time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad,q1,q2,q3,q4
45,6787.69148953303,0.00058885954157273,1.69349749892851,6.28035428816128,6.40517366616115,-0.0723322818816407,-0.098876775705988,-0.100333867247447,0.478088265536191,-0.866941813887043
46,6787.68927783046,0.000588651999244499,1.6934975049349,6.28035428846551,6.40793467506752,-0.0739629849746372,-0.0938511488377195,-0.148429517753696,0.436007574588683,-0.882642642875665
47,6787.68701718021,0.00058843987850792,1.69349751137957,6.2803542887993,6.41069723210015,-0.0755952362652419,-0.0863342328295095,-0.194947869964272,0.391335770009587,-0.895208379847473
48,6787.68470759436,0.000588223183285989,1.69349751826237,6.28035428916363,6.41346137211882,-0.0772290706147787,-0.0764428117968292,-0.239472773963625,0.344182786836324,-0.904625611123377
49,6787.68234908487,0.000588001917532282,1.69349752558299,6.2803542895595,6.41622713016556,-0.0788645230668211,-0.064329298405629,-0.281598071269107,0.294681090836328,-0.910893694306679
50,6787.67994166336,0.000587776085206854,1.69349753334113,6.28035428998789,6.41899454146699,-0.0805016288495382,-0.0501810898006292,-0.32093262393697,0.242986459274514,-0.914024994039324
51,6787.67748534074,0.000587545690210731,1.69349754153678,6.28035429044979,6.42176364137264,-0.082140423314003,-0.0342193387007753,-0.357105523556003,0.189278453859219,-0.914045047472682
52,6787.67498012969,0.000587310736766753,1.69349755016963,6.2803542909462,6.42453446546074,-0.083780942039992,-0.016697097923099,-0.389771388836145,0.133760532235442,-0.910992640684753
53,6787.67242604412,0.000587071229328696,1.69349755923935,6.28035429147809,6.42730704942332,-0.0854232207210724,0.00210318911467803,-0.418615643203393,0.0766597487967101,-0.904919776983232
54,6787.66982309855,0.000586827172484969,1.69349756874573,6.28035429204645,6.43008142897194,-0.0870672950703438,0.0218728612667026,-0.44335964833464,0.0182260031256757,-0.895891518532603
55,6787.66717130831,0.000586578570990022,1.69349757868858,6.28035429265226,6.43285763980987,-0.0887132007926303,0.0422808641114395,-0.463765557683374,-0.0412691948483153,-0.883985684043125
56,6787.66447068929,0.000586325429727886,1.69349758906775,6.28035429329652,6.43563571761358,-0.0903609735659398,0.0629781903603719,-0.479640746451326,-0.101534459857829,-0.869292387717692
57,6787.66172125772,0.000586067753670335,1.69349759988303,6.28035429398022,6.43841569805592,-0.0920106490646509,0.0836028751477429,-0.49084167270353,-0.162260766449894,-0.851913408320191
58,6787.65892302988,0.00058580554784819,1.69349761113418,6.28035429470433,6.44119761686745,-0.0936622630208774,0.1037854596013,-0.497277029168187,-0.223124164782128,-0.831961382353344
59,6787.65607602204,0.000585538817342186,1.69349762282091,6.28035429546984,6.44398150992632,-0.0953158513143089,0.123154812283797,-0.498910057928608,-0.283788937279862,-0.809558821449425
60,6787.6531802505,0.000585267567293294,1.6934976349429,6.28035429627773,6.44676741335586,-0.096971450069821,0.141344176445876,-0.495759920151447,-0.343911135778191,-0.784836961441052
61,6787.65023573194,0.000584991802965229,1.69349764749975,6.28035429712896,6.44955536361863,-0.0986290957515069,0.157997294804643,-0.487902040228828,-0.40314241932689,-0.757934458719369
62,6787.64724248351,0.000584711529759411,1.69349766049087,6.28035429802449,6.45234539759915,-0.100288825245424,0.172774453764052,-0.475467377124814,-0.461134096901321,-0.728995957527603
63,6787.64420052095,0.000584426752936989,1.69349767391607,6.2803542989653,6.45513755253005,-0.101950675785746,0.185358285517152,-0.458640613570652,-0.517541267280543,-0.698170559559287
64,6787.64110986031,0.000584137477874112,1.69349768777541,6.2803542999524,6.45793186598172,-0.10361468494441,0.195459171673841,-0.437657293717038,-0.572026941508381,-0.665610234035972
65,6787.63797051789,0.000583843710047644,1.69349770206915,6.28035430098679,6.46072837576359,-0.105280890532348,0.202820105225066,-0.412799979260893,-0.624266033207771,-0.631468211251947
66,6787.63478250983,0.00058354545496767,1.69349771679783,6.28035430206953,6.46352711980074,-0.106949330476204,0.207220887238445,-0.384393530705675,-0.673949107760619,-0.595897405257316
67,6787.63154585164,0.000583242718097948,1.69349773196216,6.28035430320165,6.46632813601772,-0.108620042702042,0.208481560673509,-0.352799651360939,-0.720785792932061,-0.559048911604376
68,6787.62826055774,0.000582935504784976,1.693497747563,6.28035430438422,6.4691314622546,-0.110293065051448,0.206465013695081,-0.318410855191605,-0.764507770114763,-0.521070623668418
69,6787.62492664185,0.000582623820311872,1.69349776360104,6.2803543056183,6.47193713622801,-0.111968435242583,0.201078716717317,-0.281644034104748,-0.804871285783525,-0.482106006037776
70,6787.62154411658,0.000582307669820437,1.69349778007652,6.28035430690492,6.4747451953226,-0.113646190661638,0.192275589058042,-0.242933805773132,-0.841659144799039,-0.442293056514699
71,6787.61811299121,0.000581987057990046,1.69349779698984,6.28035430824511,6.47755567674173,-0.115326368513493,0.180054020696895,-0.202725819226106,-0.874682169868113,-0.401763479630485
72,6787.61463327504,0.000581661989560595,1.69349781434114,6.28035430963988,6.48036861787639,-0.117009006190672,0.164457100515915,-0.161470183557076,-0.903780132738235,-0.360642085147588
73,6787.61110497857,0.000581332469509477,1.69349783213032,6.28035431109025,6.4831840564116,-0.118694141379723,0.145571123283915,-0.119615166708322,-0.928822181494607,-0.319046415311
74,6787.60752811434,0.000580998503187149,1.69349785035705,6.28035431259718,6.48600203038459,-0.120381812119407,0.123523462958053,-0.0776012880358924,-0.949706803615175,-0.27708659541932
75,6787.60390269756,0.000580660096407401,1.69349786902086,6.28035431416165,6.48882257819622,-0.122072056812142,0.0984799095773233,-0.0358559026593581,-0.966361375619905,-0.234865394139131
76,6787.60022874627,0.000580317255477597,1.69349788812127,6.28035431578462,6.4916457385785,-0.123764914191461,0.0706415713975949,0.00521165099418195,-0.978741357255354,-0.192478473295952
77,6787.59650628122,0.000579969987168237,1.69349790765782,6.28035431746706,6.49447155053607,-0.125460423263532,0.0402414436192473,0.0452142949825319,-0.986829191358425,-0.150014802028161
78,6787.59273532525,0.000579618298631118,1.69349792763014,6.28035431920993,6.49730005327729,-0.127158623238263,0.00754074095506601,0.0837908251142123,-0.990632970404283,-0.107557207106336
79,6787.58891590266,0.00057926219728549,1.69349794803797,6.28035432101424,6.50013128615448,-0.128859553469502,-0.0271749157918161,0.12060889265304,-0.990184927963633,-0.0651830299876475
80,6787.5850480383,0.000578901690695595,1.69349796888117,6.28035432288095,6.50296528862642,-0.130563253417558,-0.0635993779662115,0.155367370708029,-0.985539808620836,-0.022964861532149
81,6787.58113175696,0.000578536786468876,1.69349799015967,6.28035432481108,6.50580210025009,-0.132269762640934,-0.101409841193761,0.187798135302385,-0.976773164091505,0.0190286730139596
82,6787.57716708494,0.000578167492511474,1.69349801187267,6.28035432680555,6.50864176087876,-0.133979120994451,-0.140270651333542,0.217667301394058,-0.963979616942915,0.0607321035111006
83,6787.57315404401,0.000577793816128854,1.69349803401966,6.28035432886531,6.51148431072019,-0.135691368687389,-0.179836995121291,0.244775961209349,-0.947271126947867,0.102082300379164
84,6787.56909265485,0.000577415764524792,1.69349805660057,6.28035433099138,6.51432979006256,-0.137406546009451,-0.219758437054073,0.26896047652951,-0.926775289020117,0.143017673978597
85,6787.56498293934,0.000577033345121265,1.69349807961517,6.28035433318471,6.51717823912285,-0.139124693179152,-0.259682274239839,0.290092378449521,-0.902633686061863,0.183477402416478
86,6787.56082491813,0.00057664656520543,1.69349810306351,6.28035433544633,6.52002969809512,-0.140845850392069,-0.299256690527915,0.308077927960141,-0.875000314932608,0.223400699072099
87,6787.55661861199,0.000576255432138756,1.69349812694568,6.28035433777724,6.52288420729432,-0.142570057964689,-0.338133699646791,0.322857389002034,-0.844040099166576,0.262726128371046
88,6787.55236404166,0.000575859953336937,1.69349815126168,6.28035434017845,6.52574180721081,-0.144297356388875,-0.375971874970261,0.334404062390104,-0.809927497850148,0.301390976166408
89,6787.54806122774,0.000575460136264191,1.69349817601149,6.28035434265096,6.52860253857429,-0.146027786395853,-0.412438869959363,0.342723124854497,-0.772845216235207,0.339330679395436
90,6787.54371019079,0.000575055988450767,1.69349820119505,6.28035434519576,6.53146644241741,-0.147761389019806,-0.44721373894948,0.347850312390146,-0.732983020021126,0.376478318400428
91,6787.53931095153,0.000574647517529138,1.69349822681225,6.28035434781386,6.53433356012561,-0.149498205647683,-0.479989071698331,0.349850481514655,-0.690536652018941,0.412764174623489
92,6787.53486353114,0.000574234731279454,1.69349825286299,6.28035435050623,6.53720393346215,-0.151238278044275,-0.510472957984503,0.348816076076834,-0.645706846872234,0.448115355839576
93,6787.53036795152,0.000573817637672765,1.69349827934716,6.28035435327389,6.54007760456125,-0.152981648345321,-0.538390799843228,0.344865521143927,-0.598698436898353,0.482455490823522
94,6787.52582423869,0.000573396245369905,1.693498306264,6.28035435611775,6.54295461581851,-0.154728358947938,-0.56348698936807,0.338141559385447,-0.549719539837736,0.515704494987076
